文件系统        容量  已用  可用 已用% 挂载点
udev            7.8G     0  7.8G    0% /dev
tmpfs           1.6G   18M  1.6G    2% /run
/dev/sdc2       117G  103G  8.5G   93% /
tmpfs           7.8G  289M  7.6G    4% /dev/shm
tmpfs           5.0M  4.0K  5.0M    1% /run/lock
tmpfs           7.8G     0  7.8G    0% /sys/fs/cgroup
/dev/loop0      181M  181M     0  100% /snap/vlc/190
/dev/loop1       82M   82M     0  100% /snap/core/4017
/dev/loop2      193M  193M     0  100% /snap/vlc/131
/dev/loop3       82M   82M     0  100% /snap/core/4110
/dev/loop4      136M  136M     0  100% /snap/gimp/30
/dev/loop5       82M   82M     0  100% /snap/core/4206
/dev/loop6      189M  189M     0  100% /snap/vlc/158
/dev/sdc1       511M  4.7M  507M    1% /boot/efi
/dev/sdb1       1.8T  358G  1.4T   21% /Backup
/dev/sda1       917G  621G  251G   72% /File
tmpfs           1.6G  152K  1.6G    1% /run/user/1000
